Ing1,Ing2,Ing3,Ing4,Style
Caramel/Crystal Malt,,,,California Common Beer
Cluster,Willamette,,,American-Style Amber/Red Ale
Cherries,Rasberries,,,Other Belgian-Style Ales
Amarillo,Simcoe,Caramel/Crystal Malt 45L,CaraPils/Dextrin Malt,Chocolate Malt
Cascade,Motueka,Pacific Jade,,American-Style Amber/Red Ale
Centennial,El Dorado,Nugget,Target,Caramel/Crystal Malt 80L
Cascade,Tradition,Two-Row Pale Malt,Wheat Malt,Munich Malt
Magnum,CaraMunich III,Chocolate Malt,Melanoidin Malt,Munich Malt 20L
French Strisserspalt,Two-Row Pale Malt,Wheat Malt,Pale Malt,French & Belgian-Style Saison
Cascade,CTZ,Mount Hood,Nugget,Caramel/Crystal Malt
Horizon,Northern Brewer (American),Sterling,Barley - Flaked,Barley - Roasted
Amarillo Gold,CaraMunich,Chocolate Malt,Two-Row Pale Malt,Barley - Roasted
Willamette,Brown Malt,Caramel/Crystal Malt,Chocolate Malt,Special Roast
Fuggles,Magnum,Barley - Roasted,Oats - Malted,Pilsner Malt
Cascade,Pacifica,Pacific Jade,Brown Malt,Caramel/Crystal Malt
German Perle,Pride of Ringwood,Two-Row Pilsner Malt - Germany,Candi Syrup - Dark,French & Belgian-Style Saison
Cascade,Columbus,Hallertau Northern Brewer,Liberty,Meridian
Hallertau Northern Brewer,Saaz (American),Pale Malt,Wheat Malt,American-Style Cream Ale or Lager
Nugget,Willamette,Aromatic Malt,Caramel/Crystal Malt,Two-Row Pale Malt
Chocolate Malt,Oats - Flaked,,,Oatmeal Stout
German Tradition,Willamette,,,Light American Wheat Ale or Lager with Yeast
Mount Hood,Tradition,Two-Row Pale Malt,Munich Malt,Wheat Malt
Amarillo,Chinook,Citra,East Kent Golding,German Magnum
Sterling,Two-Row Pale Malt,German Lager,,German-Style Pilsener
Tettnanger (American),,,,German-Style Rye Ale (Roggenbier) with or without Yeast
Caramel/Crystal Malt,Chocolate Malt,Pale Malt,,American-Style Amber/Red Ale
Cascade,Two-Row Pale Malt,Wheat Malt,Munich Malt,Caramel/Crystal Malt 40L
Cascade,German Select,Mount Hood,Nugget,Aromatic Malt
Crystal,Summit,Honey Malt,Pilsner Malt,Two-Row Pale Malt
Alchemy,Citra,Caramel/Crystal Malt 10L,CaraPils/Dextrin Malt,Two-Row Pale Malt
Alchemy,Falconer's Flight,Caramel/Crystal Malt 40L,Honey Malt,Two-Row Pale Malt
Alchemy,Galaxy,Nelson Sauvin,Caramel/Crystal Malt 10L,CaraPils/Dextrin Malt
Alchemy,Falconer's Flight,Galaxy,Millenium,Zeus
Two-Row Pale Malt,Rasberries,,,Fruit Beer
Mount Hood,Tettnanger (American),Caramel/Crystal Malt,Munich Malt,Special B Malt
Hallertauer (American),Tettnanger (American),,,American-Style Premium Lager
Cascade,Tettnanger (American),Willamette,Caramel/Crystal Malt,CaraPils/Dextrin Malt
Rasberries,,,,American-Style Imperial Stout
Cascade,Celeia,Styrian Goldings,Summit,Barley - Flaked
Cascade,Centennial,Nugget,Caramel/Crystal Malt,Malted Rye
Nugget,Simcoe,Pale Malt,Rye - Flaked,American-Style India Pale Ale
Centennial,Galena,Simcoe,,American-Style India Pale Ale
Liberty,Mount Hood,Sterling,Munich Malt - Dark,Pilsner Malt
Bravo,Columbus,Falconer's Flight,Barley - Roasted,Caramel/Crystal Malt - Dark
Perle (American),Biscuit Malt,Carafa I,Two-Row Pale Malt,American-Style Black Ale
German Perle,Hallertauer Hersbrucker,Sterling,Tettnanger (American),German-Style Pilsener
Willamette,,,,Sweet or Cream Stout
Meridian,Santiam,Sterling,,French & Belgian-Style Saison
Golding (American),Styrian Aurora,Zythos,Acidulated Malt,Pilsner Malt
Motueka,Nelson Sauvin,Aromatic Malt,Caramel/Crystal Malt,CaraMunich
Tettnanger (American),Pale Malt,Honey Malt,Metcalfe,Two-Row Pale Malt
Hallertau Hallertauer Mittelfrí_her,Tettnanger (American),Caramel/Crystal Malt 60L,,American-Style Premium Lager
Hallertau Hallertauer Mittelfrí_her,Carafa I,CaraWheat,,South German-Style Dunkel Weizen / Dunkel Weissbier
Spalt,Spalt Spalter,Pilsner Malt,Two-Row Pale Malt,Wheat Malt
Hallertauer (American),Barley - Roasted,Special B Malt,Two-Row Pale Malt,Pumpkin Beer
Columbus,Falconer's Flight,Nugget,Sorachi Ace,Zythos
Citra,,,,American-Style India Pale Ale
Brewer's Gold,Falconer's Flight,Willamette,CaraWheat,Two-Row Pale Malt
German Perle,Sterling,,,Belgian-Style Tripel
Columbus,Kent Goldings,Caramel/Crystal Malt,Maris Otter,English-Style Pale Mild Ale
Hallertau Hallertauer Mittelfrí_her,Marynka,Tettnang Tettnanger,Caramel/Crystal Malt,Chocolate Malt
Willamette,Caramel/Crystal Malt,Pale Malt,,American-Style Pale Ale
Mount Hood,Tradition,Two-Row Pale Malt,Wheat Malt,Munich Malt
Bravo,Northern Brewer (American),Willamette,Black Malt,Caramel/Crystal Malt 45L
Centennial,Caramel/Crystal Malt,Two-Row Pale Malt,Wheat Malt,English-Style Summer Ale
Cascade,Nugget,Zythos,Caramel/Crystal Malt 20L,Caramel/Crystal Malt 40L
"Apples, fresh",Cherries,"Cranberries, fresh",,Fruit Beer
Summit,Caramel/Crystal Malt,Chocolate Malt,Munich Malt,Special Roast
Liberty,Acidulated Malt,Oats - Flaked,Pilsner Malt,Two-Row Pale Malt
Cascade,Liberty,Nelson Sauvin,Target,Caramel/Crystal Malt 80L
Columbus,Pilsner Malt,Belgian Ale,,Belgian-Style Blonde Ale
Columbus,Tradition,Two-Row Pale Malt,Munich Malt,Wheat Malt
Golding (American),Northern Brewer (American),Willamette,Black Malt,Caramel/Crystal Malt
Cascade,Hallertau Hallertauer Mittelfrí_her,Willamette,Caramel/Crystal Malt,Munich Malt
Cascade,CTZ,Nugget,Caramel/Crystal Malt,CaraPils/Dextrin Malt
Bravo,Cascade,Centennial,Citra,CTZ
Mount Hood,Barley - Roasted,Caramel/Crystal Malt,Chocolate Malt,Two-Row Barley Malt
Sterling,Pilsner Malt,,,Light American Wheat Ale or Lager with Yeast
Golding (American),Nugget,Barley - Flaked,Barley - Roasted,Caramel/Crystal Malt 15L
Sterling,Barley - Roasted,Black Malt - Debittered,Caramel/Crystal Malt 20L,CaraPils/Dextrin Malt
Cascade,Chinook,Columbus,Caramel/Crystal Malt 45L,Pilsner Malt
Cascade,French Strisserspalt,Palisades,Saaz (American),Simcoe
Ahtanum,,,,Irish-Style Red Ale
Hallertauer (American),Saaz (American),Pilsner Malt,Smoked Malt,Smoke Beer (Lager or Ale)
Columbus,Mount Hood,Caramel/Crystal Malt 75L,Chocolate Malt,Pale Malt
Columbus,Mount Hood,Caramel/Crystal Malt 75L,Chocolate Malt,Pale Malt
Magnum,Caramel/Crystal Malt,Pale Malt,Belgian Candi Sugar,Cardamom
Cascade,Centennial,Styrian Goldings,Caramel/Crystal Malt 80L,Midnight Wheat
Northern Brewer (American),Willamette,Barley - Flaked,Brown Sugar,Caramel/Crystal Malt 60L
Cluster,Willamette,Barley - Roasted,CaraPils/Dextrin Malt,Dark Chocolate
Golding (American),Bonlander,Caramel/Crystal Malt - Medium,Chocolate Malt,Midnight Wheat
